
===== 26B-A4B (broken) layers 0-7  (8 layers) =====
 L    D | K worstblk K maxch/med | rot worstblk | nvfp4 relL2  ROT relL2  improve
 0  256 |       3.67        4.71 |         1.32 |     0.09071    0.09406    0.96x
 1  256 |       5.29        4.51 |         1.36 |     0.09400    0.09439    1.00x
 2  256 |       3.51        3.72 |         1.31 |     0.09327    0.09464    0.99x
 3  256 |       2.64        4.04 |         1.44 |     0.09286    0.09416    0.99x
 4  256 |       3.54        4.46 |         1.39 |     0.09343    0.09404    0.99x
 5  512 |       5.86        5.88 |         1.42 |     0.09303    0.09419    0.99x
 6  256 |       2.66        3.78 |         1.44 |     0.09202    0.09404    0.98x
 7  256 |       2.96        3.80 |         1.43 |     0.09228    0.09428    0.98x

===== 12B (control) layers 0-7  (8 layers) =====
 L    D | K worstblk K maxch/med | rot worstblk | nvfp4 relL2  ROT relL2  improve
 0  256 |       4.89        3.30 |         1.36 |     0.09073    0.09474    0.96x
 1  256 |       3.15        2.54 |         1.46 |     0.09475    0.09417    1.01x
 2  256 |       1.78        2.71 |         1.40 |     0.09381    0.09447    0.99x
 3  256 |       1.77        2.63 |         1.54 |     0.09374    0.09400    1.00x
 4  256 |       2.66        3.49 |         1.66 |     0.09426    0.09418    1.00x
 5  512 |       6.67        6.91 |         1.60 |     0.09296    0.09411    0.99x
 6  256 |       2.73        3.18 |         1.44 |     0.09381    0.09432    0.99x
 7  256 |       2.14        3.54 |         1.39 |     0.09337    0.09435    0.99x

GATE: build the rotation IFF 26B L0-4 'K worstblk' >> 12B AND 'ROT relL2' << 'nvfp4 relL2' (improve>1).
