label	k_scale	v_scale	mean_nll	delta_vs_bf16	ok	status
nvfp4_k0p10_v0p05	0.10	0.05	5.173155466	+0.008499416	True	ok
nvfp4_k0p10_v0p10	0.10	0.10	5.173155466	+0.008499416	True	ok
nvfp4_k0p05_v0p05	0.05	0.05	5.287457978	+0.122801928	True	ok
nvfp4_k0p05_v0p10	0.05	0.10	5.287457978	+0.122801928	True	ok
nvfp4_k0p20_v0p05	0.20	0.05	4.930380863	-0.234275187	True	ok
nvfp4_k0p20_v0p10	0.20	0.10	4.930380863	-0.234275187	True	ok
nvfp4_k0p14_v0p08	0.14	0.08	4.760652672	-0.404003378	True	ok
nvfp4_k0p07_v0p08	0.07	0.08	4.705401167	-0.459254883	True	ok
nvfp4_k0p10_v0p03	0.10	0.03	4.611576161	-0.553079889	True	ok
nvfp4_k0p10_v0p06	0.10	0.06	4.611576161	-0.553079889	True	ok
