label	k_scale	v_scale	mean_nll	delta_vs_bf16	ppl	ok	chat	status
nvfp4_k0p05_v0p03	0.05	0.03	4.441486743	-0.723169307	84.90107394271162	True	Tokyo	ok
nvfp4_k0p07_v0p03	0.07	0.03	4.181550991	-0.983105059	65.46731373122061	True	Tokyo	ok
nvfp4_k0p10_v0p03	0.10	0.03	4.611576161	-0.553079889	100.64265369131542	True	Tokyo	ok
nvfp4_k0p14_v0p03	0.14	0.03	4.082219222	-1.082436828	59.276872547022705	True	Tokyo	ok
nvfp4_k0p20_v0p03	0.20	0.03	4.410742949	-0.753913101	82.33060819725803	True	Tokyo	ok
nvfp4_k0p05_v0p05	0.05	0.05	5.287457978	+0.122801928	197.8398723897502	True	Tokyo	ok
nvfp4_k0p07_v0p05	0.07	0.05	4.410205571	-0.754450479	82.2863774179239	True	Tokyo	ok
nvfp4_k0p10_v0p05	0.10	0.05	5.173155466	+0.008499416	176.4708074395778	True	Tokyo	ok
nvfp4_k0p14_v0p05	0.14	0.05	4.170747304	-0.993908746	64.76383230405746	True	Tokyo	ok
nvfp4_k0p20_v0p05	0.20	0.05	4.930380863	-0.234275187	138.4322259545851	True	Tokyo	ok
nvfp4_k0p05_v0p06	0.05	0.06	4.441486743	-0.723169307	84.90107394271162	True	Tokyo	ok
nvfp4_k0p07_v0p06	0.07	0.06	4.181550991	-0.983105059	65.46731373122061	True	Tokyo	ok
nvfp4_k0p10_v0p06	0.10	0.06	4.611576161	-0.553079889	100.64265369131542	True	Tokyo	ok
nvfp4_k0p14_v0p06	0.14	0.06	4.082219222	-1.082436828	59.276872547022705	True	Tokyo	ok
nvfp4_k0p20_v0p06	0.20	0.06	4.410742949	-0.753913101	82.33060819725803	True	Tokyo	ok
nvfp4_k0p05_v0p08	0.05	0.08	4.036160387	-1.128495663	56.608570010698315	True	Tokyo	ok
nvfp4_k0p07_v0p08	0.07	0.08	4.705401167	-0.459254883	110.54262211006682	True	Tokyo	ok
nvfp4_k0p10_v0p08	0.10	0.08	4.079101903	-1.085554147	59.092375341222066	True	Tokyo	ok
nvfp4_k0p14_v0p08	0.14	0.08	4.760652672	-0.404003378	116.82214761732621	True	Tokyo	ok
nvfp4_k0p20_v0p08	0.20	0.08	4.122865681	-1.041790369	61.73590444335809	True	Tokyo	ok
nvfp4_k0p05_v0p10	0.05	0.10	5.287457978	+0.122801928	197.8398723897502	True	Tokyo	ok
nvfp4_k0p07_v0p10	0.07	0.10	4.410205571	-0.754450479	82.2863774179239	True	Tokyo	ok
nvfp4_k0p10_v0p10	0.10	0.10	5.173155466	+0.008499416	176.4708074395778	True	Tokyo	ok
nvfp4_k0p14_v0p10	0.14	0.10	4.170747304	-0.993908746	64.76383230405746	True	Tokyo	ok
nvfp4_k0p20_v0p10	0.20	0.10	4.930380863	-0.234275187	138.4322259545851	True	Tokyo	ok
