label	k_scale	v_scale	mean_nll	delta_vs_bf16	ok	status
nvfp4_k0p07_v0p05	0.07	0.05	7.545217218	-0.388143193	True	ok
nvfp4_k0p07_v0p10	0.07	0.10	7.545217218	-0.388143193	True	ok
nvfp4_k0p05_v0p08	0.05	0.08	7.469367680	-0.463992730	True	ok
nvfp4_k0p10_v0p08	0.10	0.08	7.452547751	-0.480812659	True	ok
nvfp4_k0p14_v0p05	0.14	0.05	7.255225611	-0.678134799	True	ok
nvfp4_k0p14_v0p10	0.14	0.10	7.255225611	-0.678134799	True	ok
nvfp4_k0p20_v0p08	0.20	0.08	7.172175581	-0.761184830	True	ok
nvfp4_k0p20_v0p05	0.20	0.05	6.712671939	-1.220688471	True	ok
nvfp4_k0p20_v0p10	0.20	0.10	6.712671939	-1.220688471	True	ok
nvfp4_k0p14_v0p03	0.14	0.03	6.637604815	-1.295755595	True	ok
