label	k_scale	v_scale	mean_nll	delta_vs_bf16	ppl	ok	chat	status
nvfp4_k0p05_v0p03	0.05	0.03	6.390700179	-1.542660231	596.2739320601573	True	Tokyo	ok
nvfp4_k0p07_v0p03	0.07	0.03	6.531806786	-1.401553624	686.6376989369944	True	Tokyo	ok
nvfp4_k0p10_v0p03	0.10	0.03	6.413841798	-1.519518613	610.2335775653859	True	Tokyo	ok
nvfp4_k0p14_v0p03	0.14	0.03	6.637604815	-1.295755595	763.264641973189	True	Tokyo	ok
nvfp4_k0p20_v0p03	0.20	0.03	6.244940392	-1.688420018	515.3985021284175	True	Tokyo	ok
nvfp4_k0p05_v0p05	0.05	0.05	6.387676788	-1.545683622	594.4738853074567	True	Tokyo	ok
nvfp4_k0p07_v0p05	0.07	0.05	7.545217218	-0.388143193	1891.6735976714472	True	Tokyo	ok
nvfp4_k0p10_v0p05	0.10	0.05	6.293517816	-1.639842594	541.0533112028742	True	Tokyo	ok
nvfp4_k0p14_v0p05	0.14	0.05	7.255225611	-0.678134799	1415.4823161610334	True	Tokyo	ok
nvfp4_k0p20_v0p05	0.20	0.05	6.712671939	-1.220688471	822.7660861605705	True	Tokyo	ok
nvfp4_k0p05_v0p06	0.05	0.06	6.390700179	-1.542660231	596.2739320601573	True	Tokyo	ok
nvfp4_k0p07_v0p06	0.07	0.06	6.531806786	-1.401553624	686.6376989369944	True	Tokyo	ok
nvfp4_k0p10_v0p06	0.10	0.06	6.413841798	-1.519518613	610.2335775653859	True	Tokyo	ok
nvfp4_k0p14_v0p06	0.14	0.06	6.637604815	-1.295755595	763.264641973189	True	Tokyo	ok
nvfp4_k0p20_v0p06	0.20	0.06	6.244940392	-1.688420018	515.3985021284175	True	Tokyo	ok
nvfp4_k0p05_v0p08	0.05	0.08	7.469367680	-0.463992730	1753.4975636640722	True	Tokyo	ok
nvfp4_k0p07_v0p08	0.07	0.08	6.352246398	-1.581114013	573.7802008415541	True	Tokyo	ok
nvfp4_k0p10_v0p08	0.10	0.08	7.452547751	-0.480812659	1724.2505155794697	True	Tokyo	ok
nvfp4_k0p14_v0p08	0.14	0.08	6.112320464	-1.821039947	451.3849232459837	True	Tokyo	ok
nvfp4_k0p20_v0p08	0.20	0.08	7.172175581	-0.761184830	1302.6755983749592	True	Tokyo	ok
nvfp4_k0p05_v0p10	0.05	0.10	6.387676788	-1.545683622	594.4738853074567	True	Tokyo	ok
nvfp4_k0p07_v0p10	0.07	0.10	7.545217218	-0.388143193	1891.6735976714472	True	Tokyo	ok
nvfp4_k0p10_v0p10	0.10	0.10	6.293517816	-1.639842594	541.0533112028742	True	Tokyo	ok
nvfp4_k0p14_v0p10	0.14	0.10	7.255225611	-0.678134799	1415.4823161610334	True	Tokyo	ok
nvfp4_k0p20_v0p10	0.20	0.10	6.712671939	-1.220688471	822.7660861605705	True	Tokyo	ok
