label	mean_delta	bucket	bucket_delta
all_k103	-1.686701135	0-256	-2.578748161
all_k103	-1.686701135	256-1024	-2.250232057
all_k103	-1.686701135	1024-2048	-1.909711777
all_k103	-1.686701135	2048-3072	-1.311380233
all_k103	-1.686701135	3072-1000000000	-1.189466803
base_k100	-0.117964257	0-256	-0.248220337
base_k100	-0.117964257	256-1024	-0.138702851
base_k100	-0.117964257	1024-2048	-0.070406208
base_k100	-0.117964257	2048-3072	-0.152492993
base_k100	-0.117964257	3072-1000000000	-0.082599317
e0	-1.807835071	0-256	-2.341190747
e0	-1.807835071	256-1024	-1.777319082
e0	-1.807835071	1024-2048	-1.985281009
e0	-1.807835071	2048-3072	-1.863409513
e0	-1.807835071	3072-1000000000	-1.461658259
e1	-0.541493057	0-256	-0.637697378
e1	-0.541493057	256-1024	-0.717392244
e1	-0.541493057	1024-2048	-0.623105268
e1	-0.541493057	2048-3072	-0.445108861
e1	-0.541493057	3072-1000000000	-0.399177734
m0	-0.184033314	0-256	-0.345130379
m0	-0.184033314	256-1024	-0.179241487
m0	-0.184033314	1024-2048	-0.086386086
m0	-0.184033314	2048-3072	-0.232172340
m0	-0.184033314	3072-1000000000	-0.196962128
m1	-0.100249896	0-256	-0.229661335
m1	-0.100249896	256-1024	-0.207568162
m1	-0.100249896	1024-2048	-0.054830241
m1	-0.100249896	2048-3072	-0.088640559
m1	-0.100249896	3072-1000000000	-0.043997859
