label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	0	attention_output	0-64	128	0.997900233	0.063005749	-0.006057479	-0.002941467	-0.298339844	nan	nan	nan
base_k100	0	attention_output	1024-1000000000	98	0.998243803	0.057925072	-0.002299253	-0.000953393	-0.109693878	nan	nan	nan
base_k100	0	attention_output	256-512	8	0.998201415	0.058275212	-0.014617473	-0.008007169	-0.562500000	nan	nan	nan
base_k100	0	attention_output	512-768	8	0.998070896	0.060349098	-0.011194438	-0.004746631	-0.640625000	nan	nan	nan
base_k100	0	attention_output	64-256	6	0.998268396	0.057732403	-0.006003777	-0.000047763	-0.750000000	nan	nan	nan
base_k100	0	attention_output	768-1024	8	0.998077221	0.061060125	-0.003233060	-0.001909465	+0.093750000	nan	nan	nan
base_k100	0	attention_output	all	256	0.998060661	0.060645558	-0.004957291	-0.002295051	-0.243408203	nan	nan	nan
base_k100	0	input	0-64	128	1.000000474	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	1024-1000000000	98	1.000000443	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	256-512	8	1.000000462	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	512-768	8	1.000000387	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	64-256	6	1.000000417	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	768-1024	8	1.000000566	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	all	256	1.000000461	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	mlp_output	0-64	128	0.999421117	0.035413803	+0.054054391	+0.048098376	+0.059570312	nan	nan	nan
base_k100	0	mlp_output	1024-1000000000	98	0.999513452	0.033745825	+0.034888350	+0.019633069	+0.186224490	nan	nan	nan
base_k100	0	mlp_output	256-512	8	0.999561571	0.032102577	+0.144380569	+0.071523607	+0.812500000	nan	nan	nan
base_k100	0	mlp_output	512-768	8	0.999354802	0.039202881	+0.166422248	+0.081437767	+0.875000000	nan	nan	nan
base_k100	0	mlp_output	64-256	6	0.999635329	0.040756086	+0.362287601	+0.212481817	+2.125000000	nan	nan	nan
base_k100	0	mlp_output	768-1024	8	0.999380328	0.031547512	-0.003517151	+0.050896645	-0.031250000	nan	nan	nan
base_k100	0	mlp_output	all	256	0.999462527	0.034794601	+0.058476685	+0.042915578	+0.202636719	nan	nan	nan
base_k100	0	moe_output	0-64	128	0.989237380	0.092079363	-0.001239897	-0.001049546	-0.001075745	nan	nan	nan
base_k100	0	moe_output	1024-1000000000	98	0.996053541	0.076006112	-0.000544282	-0.000411537	-0.006377551	nan	nan	nan
base_k100	0	moe_output	256-512	8	0.998499252	0.063237744	-0.001269707	-0.000952527	-0.009765625	nan	nan	nan
base_k100	0	moe_output	512-768	8	0.992753290	0.092368991	+0.000996526	+0.000733520	+0.008544922	nan	nan	nan
base_k100	0	moe_output	64-256	6	0.997599363	0.073938856	-0.001057070	-0.000712545	-0.011067708	nan	nan	nan
base_k100	0	moe_output	768-1024	8	0.992694817	0.112953099	-0.001658109	-0.001163940	-0.028564453	nan	nan	nan
base_k100	0	moe_output	all	256	0.992550026	0.085261208	-0.000913434	-0.000742232	-0.004169464	nan	nan	nan
base_k100	0	output	0-64	128	0.998885014	0.039443400	-0.001275231	-0.000556821	-0.015625000	nan	nan	nan
base_k100	0	output	1024-1000000000	98	0.999290758	0.034776580	+0.000338569	-0.000115626	-0.024234694	nan	nan	nan
base_k100	0	output	256-512	8	0.999457046	0.031588478	-0.003717318	-0.000123877	-0.500000000	nan	nan	nan
base_k100	0	output	512-768	8	0.998926088	0.040561880	-0.001278475	+0.000160255	-0.218750000	nan	nan	nan
base_k100	0	output	64-256	6	0.999553492	0.029780946	-0.006493350	+0.000424291	-0.416666667	nan	nan	nan
base_k100	0	output	768-1024	8	0.999038115	0.040054716	+0.000647277	+0.000141330	-0.093750000	nan	nan	nan
base_k100	0	output	all	256	0.999079949	0.037239009	-0.000796086	-0.000307176	-0.052246094	nan	nan	nan
base_k100	0	router_logits	0-64	128	0.999676529	0.025160727	+0.002799752	+0.003794128	-0.006713867	0.960937500	0.959375000	-0.004394531
base_k100	0	router_logits	1024-1000000000	98	0.999777304	0.021405600	-0.001174612	-0.000535255	-0.015625000	0.959183673	0.942857143	-0.011957908
base_k100	0	router_logits	256-512	8	0.999791861	0.020457950	-0.001621976	-0.001302123	+0.003906250	1.000000000	1.000000000	+0.035156250
base_k100	0	router_logits	512-768	8	0.999763355	0.021579571	+0.006674483	+0.007710695	-0.015625000	0.875000000	1.000000000	-0.001953125
base_k100	0	router_logits	64-256	6	0.999765158	0.021515466	+0.001649519	+0.000507911	-0.005208333	1.000000000	0.933333333	-0.031250000
base_k100	0	router_logits	768-1024	8	0.999733903	0.023421437	+0.000280857	+0.001627505	+0.019531250	1.000000000	1.000000000	+0.003906250
base_k100	0	router_logits	all	256	0.999725295	0.023324556	+0.001155548	+0.001955193	-0.009216309	0.960937500	0.956250000	-0.006347656
base_k100	4	attention_output	0-64	128	0.991739470	0.121779103	-0.023061231	-0.010126011	-0.565917969	nan	nan	nan
base_k100	4	attention_output	1024-1000000000	98	0.995277804	0.096518017	-0.009923221	-0.006663395	-0.095025510	nan	nan	nan
base_k100	4	attention_output	256-512	8	0.992842950	0.115527323	-0.014633134	-0.002544537	-0.203125000	nan	nan	nan
base_k100	4	attention_output	512-768	8	0.994559623	0.104574917	-0.013412386	-0.002674736	-0.375000000	nan	nan	nan
base_k100	4	attention_output	64-256	6	0.988839189	0.148973052	-0.043076634	-0.029351334	-1.010416667	nan	nan	nan
base_k100	4	attention_output	768-1024	8	0.993077964	0.114036293	-0.004732326	+0.006312139	-0.343750000	nan	nan	nan
base_k100	4	attention_output	all	256	0.993190454	0.111771240	-0.017363265	-0.008267607	-0.371826172	nan	nan	nan
base_k100	4	input	0-64	128	0.997082302	0.062119355	+0.005089732	+0.001004790	+0.138671875	nan	nan	nan
base_k100	4	input	1024-1000000000	98	0.999017662	0.042435413	-0.002759317	-0.001212809	-0.011479592	nan	nan	nan
base_k100	4	input	256-512	8	0.998618647	0.049090669	+0.006292529	+0.001504809	-0.171875000	nan	nan	nan
base_k100	4	input	512-768	8	0.998963244	0.043815503	+0.006290719	+0.001844328	+0.015625000	nan	nan	nan
base_k100	4	input	64-256	6	0.997838716	0.063716838	-0.004729827	-0.004028283	+0.020833333	nan	nan	nan
base_k100	4	input	768-1024	8	0.998892479	0.046960113	+0.004466280	+0.000600368	-0.078125000	nan	nan	nan
base_k100	4	input	all	256	0.998004269	0.053168669	+0.001910508	+0.000067126	+0.058105469	nan	nan	nan
base_k100	4	mlp_output	0-64	128	0.994606173	0.086483153	+0.000186014	+0.001118892	-0.021728516	nan	nan	nan
base_k100	4	mlp_output	1024-1000000000	98	0.998402023	0.056886568	+0.001056803	+0.000821055	+0.017219388	nan	nan	nan
base_k100	4	mlp_output	256-512	8	0.996449664	0.077869943	+0.004429743	+0.001759555	+0.152343750	nan	nan	nan
base_k100	4	mlp_output	512-768	8	0.998037063	0.067395274	+0.013296686	+0.002934314	+0.210937500	nan	nan	nan
base_k100	4	mlp_output	64-256	6	0.997913669	0.078327080	+0.051819980	+0.016272555	+0.713541667	nan	nan	nan
base_k100	4	mlp_output	768-1024	8	0.996499732	0.079797120	+0.008949600	+0.006388694	+0.070312500	nan	nan	nan
base_k100	4	mlp_output	all	256	0.996360789	0.073887455	+0.002545721	+0.001601474	+0.026000977	nan	nan	nan
base_k100	4	moe_output	0-64	128	0.984622550	0.150142374	-0.000537338	-0.000506439	-0.005203247	nan	nan	nan
base_k100	4	moe_output	1024-1000000000	98	0.987789420	0.123772314	-0.001309439	-0.001149053	-0.004556461	nan	nan	nan
base_k100	4	moe_output	256-512	8	0.989193887	0.150884717	+0.000394161	+0.000193097	+0.001892090	nan	nan	nan
base_k100	4	moe_output	512-768	8	0.975428268	0.187683854	+0.002313256	+0.002235060	+0.001159668	nan	nan	nan
base_k100	4	moe_output	64-256	6	0.992734561	0.154308215	+0.009407262	+0.007813397	+0.013997396	nan	nan	nan
base_k100	4	moe_output	768-1024	8	0.993784860	0.158597571	+0.001404430	+0.000278116	+0.039489746	nan	nan	nan
base_k100	4	moe_output	all	256	0.986166848	0.141605817	-0.000420960	-0.000425394	-0.002688408	nan	nan	nan
base_k100	4	output	0-64	128	0.996187850	0.071178035	+0.001865156	+0.001094133	+0.065429688	nan	nan	nan
base_k100	4	output	1024-1000000000	98	0.998437993	0.051511597	-0.006092086	-0.001973859	-0.156887755	nan	nan	nan
base_k100	4	output	256-512	8	0.998108894	0.058795795	+0.005812898	+0.001089830	-0.234375000	nan	nan	nan
base_k100	4	output	512-768	8	0.997093193	0.065845169	+0.010200739	+0.006140053	-0.312500000	nan	nan	nan
base_k100	4	output	64-256	6	0.997672041	0.069914791	+0.002597054	+0.001992693	+0.187500000	nan	nan	nan
base_k100	4	output	768-1024	8	0.998223253	0.057199590	-0.002833709	-0.001046844	+0.125000000	nan	nan	nan
base_k100	4	output	all	256	0.997235950	0.062629446	-0.000926808	+0.000031372	-0.036132812	nan	nan	nan
base_k100	4	router_logits	0-64	128	0.999385517	0.031043524	-0.013313383	-0.016676642	-0.017456055	0.867187500	0.926562500	-0.010620117
base_k100	4	router_logits	1024-1000000000	98	0.999776614	0.021178546	+0.000220571	+0.000469247	-0.007971939	0.948979592	0.927891156	-0.006377551
base_k100	4	router_logits	256-512	8	0.999694318	0.024605799	-0.004700392	-0.009986043	+0.029296875	0.875000000	0.950000000	-0.001953125
base_k100	4	router_logits	512-768	8	0.999606512	0.025235346	+0.002851143	+0.003619432	-0.035156250	1.000000000	1.000000000	-0.017578125
base_k100	4	router_logits	64-256	6	0.999450882	0.031287960	-0.006788592	-0.008458614	+0.023437500	0.833333333	1.000000000	+0.033854167
base_k100	4	router_logits	768-1024	8	0.999721661	0.023525589	-0.018197864	-0.017517298	-0.050781250	0.875000000	0.950000000	-0.019531250
base_k100	4	router_logits	all	256	0.999563826	0.026655196	-0.007357834	-0.009103308	-0.013000488	0.902343750	0.932552083	-0.008178711
base_k100	8	attention_output	0-64	128	0.971564833	0.224487283	+0.030837738	+0.024617735	+0.312500000	nan	nan	nan
base_k100	8	attention_output	1024-1000000000	98	0.988060803	0.150532379	-0.006357808	-0.002350583	-0.169005102	nan	nan	nan
base_k100	8	attention_output	256-512	8	0.985185549	0.162988347	-0.003055602	-0.003455777	-0.195312500	nan	nan	nan
base_k100	8	attention_output	512-768	8	0.987492211	0.154353145	-0.011253715	-0.004189264	-0.320312500	nan	nan	nan
base_k100	8	attention_output	64-256	6	0.978370488	0.198245530	+0.008611937	+0.007120719	+0.510416667	nan	nan	nan
base_k100	8	attention_output	768-1024	8	0.973788179	0.228314234	+0.033349052	+0.016817816	+0.734375000	nan	nan	nan
base_k100	8	attention_output	all	256	0.979032061	0.191567439	+0.013781855	+0.011862576	+0.110351562	nan	nan	nan
base_k100	8	input	0-64	128	0.990116026	0.113758528	+0.000421857	+0.000232361	+0.091796875	nan	nan	nan
base_k100	8	input	1024-1000000000	98	0.996805619	0.074449709	-0.001681396	-0.000714959	+0.003826531	nan	nan	nan
base_k100	8	input	256-512	8	0.994720899	0.093410158	-0.001479387	+0.000324141	+0.093750000	nan	nan	nan
base_k100	8	input	512-768	8	0.995023526	0.095856081	+0.010039374	+0.000980020	+0.140625000	nan	nan	nan
base_k100	8	input	64-256	6	0.993860642	0.100564669	+0.027379195	+0.009336879	-0.062500000	nan	nan	nan
base_k100	8	input	768-1024	8	0.989705138	0.126711743	+0.001706317	+0.003048241	-0.125000000	nan	nan	nan
base_k100	8	input	all	256	0.993049072	0.097610840	+0.000529791	+0.000197331	+0.049316406	nan	nan	nan
base_k100	8	mlp_output	0-64	128	0.965571944	0.207070783	-0.019280852	-0.012658969	-0.284667969	nan	nan	nan
base_k100	8	mlp_output	1024-1000000000	98	0.980754232	0.141480619	-0.007778506	-0.006581534	-0.322066327	nan	nan	nan
base_k100	8	mlp_output	256-512	8	0.989877410	0.129957806	+0.001275234	-0.010904521	+0.335937500	nan	nan	nan
base_k100	8	mlp_output	512-768	8	0.990010716	0.133827658	-0.007098593	-0.005768348	+0.015625000	nan	nan	nan
base_k100	8	mlp_output	64-256	6	0.963994553	0.204015608	-0.033563465	-0.037275871	-0.057291667	nan	nan	nan
base_k100	8	mlp_output	768-1024	8	0.972534701	0.257231957	+0.077729505	+0.037154324	+1.304687500	nan	nan	nan
base_k100	8	mlp_output	all	256	0.973087787	0.178759351	-0.011157712	-0.009082586	-0.215209961	nan	nan	nan
base_k100	8	moe_output	0-64	128	0.962937636	0.234805731	+0.000990375	+0.000951739	+0.012542725	nan	nan	nan
base_k100	8	moe_output	1024-1000000000	98	0.980066962	0.176302671	-0.001253164	+0.000297877	-0.053172832	nan	nan	nan
base_k100	8	moe_output	256-512	8	0.984239846	0.157542832	-0.001716264	-0.001272650	-0.036621094	nan	nan	nan
base_k100	8	moe_output	512-768	8	0.982214853	0.186059847	+0.002405524	+0.003446677	-0.051269531	nan	nan	nan
base_k100	8	moe_output	64-256	6	0.982808342	0.166164265	+0.001728731	+0.000904487	+0.033854167	nan	nan	nan
base_k100	8	moe_output	768-1024	8	0.955388293	0.291179777	+0.002557353	+0.001458415	+0.011718750	nan	nan	nan
base_k100	8	moe_output	all	256	0.970992866	0.208625158	+0.000157435	+0.000724613	-0.015670776	nan	nan	nan
base_k100	8	output	0-64	128	0.984740007	0.140795153	+0.006046907	+0.001803952	+0.317382812	nan	nan	nan
