label	mean_delta	bucket	bucket_delta
base_k100	-0.117964257	0-256	-0.248220337
base_k100	-0.117964257	256-1024	-0.138702851
base_k100	-0.117964257	1024-2048	-0.070406208
base_k100	-0.117964257	2048-3072	-0.152492993
base_k100	-0.117964257	3072-1000000000	-0.082599317
e0_all	-1.807835071	0-256	-2.341190747
e0_all	-1.807835071	256-1024	-1.777319082
e0_all	-1.807835071	1024-2048	-1.985281009
e0_all	-1.807835071	2048-3072	-1.863409513
e0_all	-1.807835071	3072-1000000000	-1.461658259
l0	-1.079506519	0-256	-1.325638635
l0	-1.079506519	256-1024	-1.111862820
l0	-1.079506519	1024-2048	-1.204710805
l0	-1.079506519	2048-3072	-1.043909122
l0	-1.079506519	3072-1000000000	-0.902718217
l1	-1.126409564	0-256	-1.409933661
l1	-1.126409564	256-1024	-1.026615037
l1	-1.126409564	1024-2048	-1.436093870
l1	-1.126409564	2048-3072	-1.167699032
l1	-1.126409564	3072-1000000000	-0.776668307
l2	-0.802162547	0-256	-1.357368177
l2	-0.802162547	256-1024	-1.130742781
l2	-0.802162547	1024-2048	-0.907893112
l2	-0.802162547	2048-3072	-0.693447332
l2	-0.802162547	3072-1000000000	-0.416900756
l3	-0.488900821	0-256	-0.653948260
l3	-0.488900821	256-1024	-0.723986048
l3	-0.488900821	1024-2048	-0.614193107
l3	-0.488900821	2048-3072	-0.265914607
l3	-0.488900821	3072-1000000000	-0.368075019
l4	-0.548818476	0-256	-0.542449476
l4	-0.548818476	256-1024	-0.572032120
l4	-0.548818476	1024-2048	-0.725656997
l4	-0.548818476	2048-3072	-0.590569254
l4	-0.548818476	3072-1000000000	-0.312565465
