label	base_sk	base_sv	base_fk	base_fv	early	mid	late	mean_nll	delta_vs_bf16	ppl	ok	chat	status
all_high	0.10	0.08	0.07	0.05	NA	NA	NA	7.785053609	-0.148306801	2404.3950419059342	True	Tokyo	ok
early_high	0.07	0.05	0.07	0.05	0.10,0.08	NA	NA	7.708026323	-0.225334087	2226.1442306880813	True	Tokyo	ok
mid_high	0.07	0.05	0.07	0.05	NA	0.10,0.08	NA	7.494763016	-0.438597394	1798.5984759907208	True	Tokyo	ok
late_high	0.07	0.05	0.07	0.05	NA	NA	0.10,0.08	7.562140858	-0.371219552	1923.9600328927697	True	Tokyo	ok
early_mid_high	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	NA	7.815396153	-0.117964257	2478.468612492168	True	Tokyo	ok
mid_late_high	0.07	0.05	0.07	0.05	NA	0.10,0.08	0.10,0.08	7.537111599	-0.396248812	1876.4023871040904	True	Tokyo	ok
early_late_high	0.07	0.05	0.07	0.05	0.10,0.08	NA	0.10,0.08	7.711891613	-0.221468798	2234.765573081894	True	Tokyo	ok
early_only_k10_v05	0.07	0.05	0.07	0.05	0.10,0.05	NA	NA	6.984043063	-0.949317347	1079.2731272049089	True	Tokyo	ok
mid_only_k10_v05	0.07	0.05	0.07	0.05	NA	0.10,0.05	NA	7.588040499	-0.345319912	1974.440801402464	True	Tokyo	ok
late_only_k10_v05	0.07	0.05	0.07	0.05	NA	NA	0.10,0.05	7.549492551	-0.383867859	1899.778446197019	True	Tokyo	ok
