label	sliding_k	sliding_v	full_k	full_v	mean_nll	delta_vs_bf16	ok	status
nvfp4_slk0p10_slv0p08_fk0p07_fv0p05	0.10	0.08	0.07	0.05	7.785053609	-0.148306801	True	ok
nvfp4_slk0p05_slv0p08_fk0p07_fv0p05	0.05	0.08	0.07	0.05	7.661938158	-0.271422252	True	ok
nvfp4_slk0p07_slv0p05_fk0p05_fv0p05	0.07	0.05	0.05	0.05	7.599137049	-0.334223361	True	ok
nvfp4_slk0p07_slv0p05_fk0p10_fv0p05	0.07	0.05	0.10	0.05	7.592886713	-0.340473698	True	ok
nvfp4_slk0p07_slv0p05_fk0p14_fv0p05	0.07	0.05	0.14	0.05	7.557768628	-0.375591783	True	ok
nvfp4_slk0p07_slv0p05_fk0p07_fv0p05	0.07	0.05	0.07	0.05	7.545217218	-0.388143193	True	ok
nvfp4_slk0p07_slv0p10_fk0p07_fv0p05	0.07	0.10	0.07	0.05	7.545217218	-0.388143193	True	ok
nvfp4_slk0p07_slv0p05_fk0p07_fv0p10	0.07	0.05	0.07	0.10	7.545217218	-0.388143193	True	ok
nvfp4_slk0p10_slv0p05_fk0p07_fv0p05	0.10	0.05	0.07	0.05	7.096016383	-0.837344027	True	ok
nvfp4_slk0p07_slv0p08_fk0p07_fv0p05	0.07	0.08	0.07	0.05	6.551229447	-1.382130964	True	ok
