label	sliding_k	sliding_v	full_k	full_v	mean_nll	delta_vs_bf16	ppl	ok	chat	status
nvfp4_slk0p07_slv0p05_fk0p07_fv0p05	0.07	0.05	0.07	0.05	7.545217218	-0.388143193	1891.6735976714472	True	Tokyo	ok
nvfp4_slk0p10_slv0p05_fk0p07_fv0p05	0.10	0.05	0.07	0.05	7.096016383	-0.837344027	1207.148665925437	True	Tokyo	ok
nvfp4_slk0p07_slv0p05_fk0p10_fv0p05	0.07	0.05	0.10	0.05	7.592886713	-0.340473698	1984.0325869785477	True	Tokyo	ok
nvfp4_slk0p10_slv0p05_fk0p10_fv0p05	0.10	0.05	0.10	0.05	6.293517816	-1.639842594	541.0533112028742	True	Tokyo	ok
nvfp4_slk0p07_slv0p08_fk0p07_fv0p05	0.07	0.08	0.07	0.05	6.551229447	-1.382130964	700.1043860331949	True	Tokyo	ok
nvfp4_slk0p07_slv0p05_fk0p05_fv0p05	0.07	0.05	0.05	0.05	7.599137049	-0.334223361	1996.4722944904245	True	Tokyo	ok
nvfp4_slk0p10_slv0p05_fk0p05_fv0p05	0.10	0.05	0.05	0.05	6.314645609	-1.618714801	552.6061874013797	True	Tokyo	ok
nvfp4_slk0p07_slv0p05_fk0p14_fv0p05	0.07	0.05	0.14	0.05	7.557768628	-0.375591783	1915.5663993158382	True	Tokyo	ok
nvfp4_slk0p07_slv0p10_fk0p07_fv0p05	0.07	0.10	0.07	0.05	7.545217218	-0.388143193	1891.6735976714472	True	Tokyo	ok
nvfp4_slk0p05_slv0p08_fk0p07_fv0p05	0.05	0.08	0.07	0.05	7.661938158	-0.271422252	2125.873717632733	True	Tokyo	ok
nvfp4_slk0p10_slv0p08_fk0p07_fv0p05	0.10	0.08	0.07	0.05	7.785053609	-0.148306801	2404.3950419059342	True	Tokyo	ok
nvfp4_slk0p07_slv0p05_fk0p07_fv0p10	0.07	0.05	0.07	0.10	7.545217218	-0.388143193	1891.6735976714472	True	Tokyo	ok
