label	layer	phase	count	both_zero	nonzero_count	mean_cos_nonzero	mean_rel_l2_nonzero
base_k100	0	attention_output	592	336	256	0.998060661	0.060645558
base_k100	0	input	592	336	256	1.000000461	0.000000000
base_k100	0	mlp_output	592	336	256	0.999462527	0.034794601
base_k100	0	moe_output	592	336	256	0.992550026	0.085261208
base_k100	0	output	592	336	256	0.999079949	0.037239009
base_k100	0	router_logits	592	336	256	0.999725295	0.023324556
base_k100	1	attention_output	592	336	256	0.994595091	0.101807841
base_k100	1	input	592	336	256	0.999079949	0.037239009
base_k100	1	mlp_output	592	336	256	0.998025550	0.059942931
base_k100	1	moe_output	592	336	256	0.993538929	0.107493976
base_k100	1	output	592	336	256	0.998372013	0.053175282
base_k100	1	router_logits	592	336	256	0.998709000	0.048534179
base_k100	2	attention_output	592	336	256	0.992789651	0.115578366
base_k100	2	input	592	336	256	0.998372013	0.053175282
base_k100	2	mlp_output	592	336	256	0.998232813	0.051102040
base_k100	2	moe_output	592	336	256	0.992186355	0.115205889
base_k100	2	output	592	336	256	0.998798500	0.042704466
base_k100	2	router_logits	592	336	256	0.999310002	0.034927596
base_k100	3	attention_output	592	336	256	0.991944402	0.121874186
base_k100	3	input	592	336	256	0.998798500	0.042704466
base_k100	3	mlp_output	592	336	256	0.997183303	0.056506300
base_k100	3	moe_output	592	336	256	0.990279242	0.126473372
base_k100	3	output	592	336	256	0.998004269	0.053168669
base_k100	3	router_logits	592	336	256	0.999210441	0.035291989
base_k100	4	attention_output	592	336	256	0.993190454	0.111771240
base_k100	4	input	592	336	256	0.998004269	0.053168669
base_k100	4	mlp_output	592	336	256	0.996360789	0.073887455
base_k100	4	moe_output	592	336	256	0.986166848	0.141605817
base_k100	4	output	592	336	256	0.997235950	0.062629446
base_k100	4	router_logits	592	336	256	0.999563826	0.026655196
