label	base_sk	base_sv	base_fk	base_fv	e0	e1	m0	m1	mean_nll	delta_vs_bf16	ok	status
all_four_high	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	0.10,0.08	0.10,0.08	7.815396153	-0.117964257	True	ok
drop_m1	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	0.10,0.08	NA	7.786669883	-0.146690527	True	ok
all_four_k11_v08	0.07	0.05	0.07	0.05	0.11,0.08	0.11,0.08	0.11,0.08	0.11,0.08	8.095619315	+0.162258904	True	ok
drop_m0	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	NA	0.10,0.08	7.749327748	-0.184032662	True	ok
e0_e1	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	NA	NA	7.708026323	-0.225334087	True	ok
drop_e1	0.07	0.05	0.07	0.05	0.10,0.08	NA	0.10,0.08	0.10,0.08	7.642195085	-0.291165325	True	ok
e0_only	0.07	0.05	0.07	0.05	0.10,0.08	NA	NA	NA	7.639941688	-0.293418723	True	ok
e0_m0	0.07	0.05	0.07	0.05	0.10,0.08	NA	0.10,0.08	NA	7.617585018	-0.315775392	True	ok
e0_m1	0.07	0.05	0.07	0.05	0.10,0.08	NA	NA	0.10,0.08	7.593713783	-0.339646627	True	ok
m0_only	0.07	0.05	0.07	0.05	NA	NA	0.10,0.08	NA	7.540598928	-0.392761483	True	ok
m1_only	0.07	0.05	0.07	0.05	NA	NA	NA	0.10,0.08	7.520967312	-0.412393099	True	ok
e1_only	0.07	0.05	0.07	0.05	NA	0.10,0.08	NA	NA	7.503859248	-0.429501162	True	ok
