label	base_sk	base_sv	base_fk	base_fv	e0	e1	m0	m1	mean_nll	delta_vs_bf16	ppl	ok	chat	status
all_four_high	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	0.10,0.08	0.10,0.08	7.815396153	-0.117964257	2478.468612492168	True	Tokyo	ok
e0_only	0.07	0.05	0.07	0.05	0.10,0.08	NA	NA	NA	7.639941688	-0.293418723	2079.622545348624	True	Tokyo	ok
e1_only	0.07	0.05	0.07	0.05	NA	0.10,0.08	NA	NA	7.503859248	-0.429501162	1815.0335803270507	True	Tokyo	ok
m0_only	0.07	0.05	0.07	0.05	NA	NA	0.10,0.08	NA	7.540598928	-0.392761483	1882.9574426170636	True	Tokyo	ok
m1_only	0.07	0.05	0.07	0.05	NA	NA	NA	0.10,0.08	7.520967312	-0.412393099	1846.352428790072	True	Tokyo	ok
e0_e1	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	NA	NA	7.708026323	-0.225334087	2226.1442306880813	True	Tokyo	ok
m0_m1	0.07	0.05	0.07	0.05	NA	NA	0.10,0.08	0.10,0.08	7.494763016	-0.438597394	1798.5984759907208	True	Tokyo	ok
e0_m0	0.07	0.05	0.07	0.05	0.10,0.08	NA	0.10,0.08	NA	7.617585018	-0.315775392	2033.6449797732068	True	Tokyo	ok
e0_m1	0.07	0.05	0.07	0.05	0.10,0.08	NA	NA	0.10,0.08	7.593713783	-0.339646627	1985.6742010920207	True	Tokyo	ok
e1_m0	0.07	0.05	0.07	0.05	NA	0.10,0.08	0.10,0.08	NA	7.352754952	-0.580605458	1560.4896860472995	True	Tokyo	ok
e1_m1	0.07	0.05	0.07	0.05	NA	0.10,0.08	NA	0.10,0.08	7.434397479	-0.498962932	1693.237200026754	True	Tokyo	ok
drop_e0	0.07	0.05	0.07	0.05	NA	0.10,0.08	0.10,0.08	0.10,0.08	7.348548832	-0.584811578	1553.939863423474	True	Tokyo	ok
drop_e1	0.07	0.05	0.07	0.05	0.10,0.08	NA	0.10,0.08	0.10,0.08	7.642195085	-0.291165325	2084.3140453889846	True	Tokyo	ok
drop_m0	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	NA	0.10,0.08	7.749327748	-0.184032662	2320.0122580577654	True	Tokyo	ok
drop_m1	0.07	0.05	0.07	0.05	0.10,0.08	0.10,0.08	0.10,0.08	NA	7.786669883	-0.146690527	2408.2843451440986	True	Tokyo	ok
all_four_k10_v07	0.07	0.05	0.07	0.05	0.10,0.07	0.10,0.07	0.10,0.07	0.10,0.07	NA	NA	NA	False		fail
all_four_k10_v09	0.07	0.05	0.07	0.05	0.10,0.09	0.10,0.09	0.10,0.09	0.10,0.09	6.063768142	-1.869592268	429.9926615342092	True	Tokyo	ok
all_four_k09_v08	0.07	0.05	0.07	0.05	0.09,0.08	0.09,0.08	0.09,0.08	0.09,0.08	6.058890154	-1.874470257	427.9002696471308	True	Tokyo	ok
all_four_k11_v08	0.07	0.05	0.07	0.05	0.11,0.08	0.11,0.08	0.11,0.08	0.11,0.08	8.095619315	+0.162258904	3280.067611966689	True	Tokyo	ok
